,Y0,Y1,Y2,Q0,Q1,Q2,Ci,Cm
2167.757618376968,7.662464406925221e-08,3.062086511937434e-05,0.02450432870001538,0.0019299300846598259,1.1723918600782055,1343.8525084102707,0.09785556938539666,3.827577519056673
2168.757618376968,7.662426094705217e-08,3.061711125824893e-05,0.024498447110300935,0.0019308107806681502,1.172861092718881,1344.3217417388937,0.09785459083459556,3.8271082901698588
2169.757618376968,7.662387782676774e-08,3.0613357876081213e-05,0.024492566962731867,0.0019316914678695599,1.1733302654898465,1344.790860081889,0.09785361229357993,3.8266391211522754
2170.757618376968,7.662349470839891e-08,3.0609604972807755e-05,0.024486688256947275,0.001932572146264143,1.1737993783990286,1345.2598634680148,0.09785263376234966,3.826170011995997
2171.757618376968,7.662311159194566e-08,3.0605852548365166e-05,0.024480810992586418,0.0019334528158519875,1.1742684314543523,1345.7287519260226,0.09785165524090465,3.8257009626930976
2172.757618376968,7.662272847740798e-08,3.0602100602690054e-05,0.024474935169288604,0.0019343334766331818,1.1747374246637419,1346.197525484656,0.09785067672924481,3.825231973235654
2173.757618376968,7.662234536478589e-08,3.059834913571903e-05,0.024469060786693253,0.0019352141286078136,1.1752063580351204,1346.6661841726511,0.09784969822737004,3.8247630436157425
2174.757618376968,7.662196225407933e-08,3.059459814738871e-05,0.024463187844439866,0.0019360947717759712,1.17567523157641,1347.1347280187374,0.09784871973528024,3.8242941738254412
2175.757618376968,7.662157914528834e-08,3.059084763763574e-05,0.024457316342168047,0.0019369754061377426,1.1761440452955316,1347.6031570516363,0.09784774125297531,3.8238253638568294
2176.757618376968,7.662119603841288e-08,3.058709760639675e-05,0.024451446279517466,0.001937856031693216,1.1766127992004052,1348.0714713000625,0.09784676278045515,3.823356613701987
2177.757618376968,7.662081293345295e-08,3.058334805360839e-05,0.02444557765612793,0.0019387366484424791,1.1770814932989493,1348.539670792723,0.09784578431771966,3.8228879233529955
2178.757618376968,7.662042983040855e-08,3.057959897920733e-05,0.024439710471639297,0.0019396172563856202,1.1775501275990818,1349.0077555583175,0.09784480586476876,3.8224192928019374
2179.757618376968,7.662004672927965e-08,3.057585038313023e-05,0.02443384472569154,0.0019404978555227273,1.1780187021087194,1349.4757256255386,0.09784382742160234,3.821950722040896
2180.757618376968,7.661966363006625e-08,3.057210226531377e-05,0.02442798041792471,0.0019413784458538886,1.1784872168357774,1349.9435810230716,0.09784284898822031,3.821482211061956
2181.757618376968,7.661928053276835e-08,3.056835462569463e-05,0.024422117547978954,0.001942259027379192,1.1789556717881704,1350.4113217795941,0.09784187056462255,3.8210137598572027
2182.757618376968,7.661889743738591e-08,3.0564607464209496e-05,0.024416256115494517,0.0019431396000987257,1.1794240669738116,1350.8789479237769,0.09784089215080899,3.820545368418723
2183.757618376968,7.661851434391898e-08,3.0560860780795084e-05,0.024410396120111734,0.0019440201640125777,1.1798924024006134,1351.3464594842828,0.09783991374677951,3.820077036738605
2184.757618376968,7.661813125236749e-08,3.0557114575388096e-05,0.024404537561471012,0.0019449007191208359,1.1803606780764868,1351.813856489768,0.09783893535253403,3.8196087648089367
2185.757618376968,7.661774816273144e-08,3.0553368847925256e-05,0.024398680439212894,0.0019457812654235884,1.180828894009342,1352.2811389688811,0.09783795696807243,3.8191405526218087
2186.757618376968,7.661736507501085e-08,3.054962359834328e-05,0.024392824752977965,0.0019466618029209235,1.1812970502070883,1352.7483069502632,0.09783697859339463,3.818672400169312
2187.757618376968,7.66169819892057e-08,3.0545878826578926e-05,0.02438697050240694,0.001947542331612929,1.1817651466776333,1353.2153604625485,0.09783600022850053,3.818204307443539
2188.757618376968,7.661659890531595e-08,3.054213453256892e-05,0.0243811176871406,0.001948422851499693,1.182233183428884,1353.6822995343634,0.09783502187339004,3.8177362744365824
2189.757618376968,7.661621582334164e-08,3.053839071625002e-05,0.024375266306819823,0.0019493033625813036,1.182701160468746,1354.1491241943277,0.09783404352806303,3.817268301140537
2190.757618376968,7.661583274328273e-08,3.0534647377559e-05,0.024369416361085593,0.001950183864857849,1.1831690778051243,1354.6158344710532,0.09783306519251944,3.8168003875474974
2191.757618376968,7.661544966513919e-08,3.0530904516432614e-05,0.024363567849578972,0.001951064358329417,1.1836369354459222,1355.0824303931447,0.09783208686675915,3.8163325336495606
2192.757618376968,7.661506658891107e-08,3.0527162132807655e-05,0.02435772077194112,0.0019519448429960958,1.1841047333990422,1355.5489119891997,0.09783110855078207,3.8158647394388243
2193.757618376968,7.66146835145983e-08,3.052342022662091e-05,0.02435187512781329,0.0019528253188579735,1.184572471672386,1356.0152792878087,0.0978301302445881,3.815397004907387
2194.757618376968,7.661430044220093e-08,3.051967879780917e-05,0.024346030916836812,0.0019537057859151377,1.1850401502738537,1356.4815323175542,0.09782915194817715,3.814929330047348
2195.757618376968,7.661391737171889e-08,3.051593784630924e-05,0.02434018813865312,0.001954586244167677,1.1855077692113447,1356.947671107012,0.09782817366154911,3.8144617148508084
2196.757618376968,7.66135343031522e-08,3.0512197372057935e-05,0.024334346792903732,0.001955466693615679,1.1859753284927572,1357.4136956847503,0.09782719538470389,3.8139941593098703
2197.757618376968,7.661315123650085e-08,3.050845737499209e-05,0.024328506879230282,0.0019563471342592324,1.1864428281259884,1357.8796060793304,0.09782621711764138,3.8135266634166363
2198.757618376968,7.661276817176483e-08,3.0504717855048524e-05,0.02432266839727446,0.001957227566098425,1.1869102681189343,1358.345402319306,0.0978252388603615,3.8130592271632104
2199.757618376968,7.661238510894413e-08,3.0500978812164085e-05,0.02431683134667807,0.001958107989133344,1.1873776484794896,1358.8110844332236,0.09782426061286414,3.8125918505416982
2200.757618376968,7.661200204803874e-08,3.049724024627562e-05,0.024310995727082996,0.0019589884033640783,1.1878449692155484,1359.2766524496224,0.09782328237514921,3.8121245335442056
2201.757618376968,7.661161898904864e-08,3.0493502157319976e-05,0.024305161538131212,0.001959868808790716,1.1883122303350033,1359.7421063970341,0.09782230414721661,3.8116572761628396
2202.757618376968,7.661123593197385e-08,3.0489764545234036e-05,0.024299328779464807,0.0019607492054133447,1.188779431845746,1360.2074463039837,0.09782132592906624,3.811190078389709
2203.757618376968,7.661085287681432e-08,3.048602740995466e-05,0.024293497450725923,0.0019616295932320528,1.1892465737556674,1360.6726721989885,0.097820347720698,3.8107229402169227
